Date,Time,H,A,Team_Home,Team_Away,Note
25.10.2009,15:00,0,0,České Budějovice,Viktoria Plzeň,
25.10.2009,17:00,2,3,Bohemians Praha,Sparta Praha,
26.10.2009,17:30,1,2,Slavia Praha,Sigma Olomouc,
31.10.2009,16:00,1,0,1. FK Příbram,Slavia Praha,
31.10.2009,18:15,1,1,Sparta Praha,Baník Ostrava,
01.11.2009,15:00,1,0,FK Jablonec,Bohemians Praha,
01.11.2009,15:00,0,2,SK Kladno,FK Teplice,
01.11.2009,17:00,0,1,Bohemians 1905,Slovan Liberec,
01.11.2009,17:00,3,2,FK Mladá Boleslav,1. FC Slovácko,
01.11.2009,17:00,2,0,Sigma Olomouc,České Budějovice,
02.11.2009,17:30,1,1,Viktoria Plzeň,Zbrojovka Brno,
07.11.2009,16:00,2,0,Baník Ostrava,SK Kladno,
07.11.2009,16:00,0,4,Slovan Liberec,Sigma Olomouc,
07.11.2009,18:15,1,0,FK Teplice,FK Jablonec,
08.11.2009,15:00,1,3,České Budějovice,FK Mladá Boleslav,
08.11.2009,17:00,1,0,Bohemians 1905,1. FK Příbram,
08.11.2009,17:00,2,1,Bohemians Praha,Zbrojovka Brno,
09.11.2009,17:30,0,1,1. FC Slovácko,Sparta Praha,
09.11.2009,17:30,0,0,Slavia Praha,Viktoria Plzeň,
21.11.2009,13:30,1,2,SK Kladno,Bohemians 1905,
21.11.2009,16:00,2,0,1. FK Příbram,1. FC Slovácko,
21.11.2009,16:00,0,3,Zbrojovka Brno,České Budějovice,
21.11.2009,16:00,3,2,Viktoria Plzeň,Bohemians Praha,
21.11.2009,18:00,2,0,Sparta Praha,Slovan Liberec,
21.11.2009,19:15,1,1,FK Jablonec,Slavia Praha,
22.11.2009,17:00,3,1,FK Mladá Boleslav,Baník Ostrava,
23.11.2009,17:30,6,2,Sigma Olomouc,FK Teplice,
28.11.2009,16:00,1,1,1. FC Slovácko,FK Jablonec,
28.11.2009,16:00,3,2,1. FK Příbram,SK Kladno,
28.11.2009,16:00,3,0,Slovan Liberec,FK Mladá Boleslav,
28.11.2009,18:15,0,2,Bohemians 1905,Sparta Praha,
29.11.2009,15:00,3,0,České Budějovice,Bohemians Praha,
29.11.2009,17:00,3,1,Slavia Praha,Zbrojovka Brno,
30.11.2009,17:30,2,0,Baník Ostrava,Sigma Olomouc,
27.02.2010,16:00,1,0,Zbrojovka Brno,Slovan Liberec,
27.02.2010,16:00,1,1,Sparta Praha,1. FK Příbram,
27.02.2010,18:20,0,1,Bohemians Praha,Slavia Praha,
28.02.2010,15:00,0,0,České Budějovice,FK Teplice,
28.02.2010,15:00,3,0,FK Jablonec,Bohemians 1905,
28.02.2010,17:00,1,0,Sigma Olomouc,1. FC Slovácko,
28.02.2010,17:00,0,1,FK Mladá Boleslav,SK Kladno,
01.03.2010,17:30,0,0,Viktoria Plzeň,Baník Ostrava,
06.03.2010,16:00,2,1,FK Teplice,Bohemians Praha,
06.03.2010,16:00,0,2,Slovan Liberec,Viktoria Plzeň,
06.03.2010,16:00,0,2,1. FC Slovácko,Zbrojovka Brno,
06.03.2010,16:00,2,0,Bohemians 1905,Sigma Olomouc,
07.03.2010,15:00,0,1,SK Kladno,Sparta Praha,
07.03.2010,17:00,4,1,Baník Ostrava,FK Jablonec,
08.03.2010,17:30,3,2,Slavia Praha,České Budějovice,
10.03.2010,18:00,2,1,FK Teplice,Viktoria Plzeň,
13.03.2010,18:20,0,0,Slavia Praha,FK Teplice,
14.03.2010,15:00,1,0,FK Jablonec,SK Kladno,
14.03.2010,15:00,1,1,České Budějovice,Slovan Liberec,
14.03.2010,15:00,3,0,Viktoria Plzeň,Bohemians 1905,
14.03.2010,17:00,3,1,Sigma Olomouc,1. FK Příbram,
14.03.2010,17:00,1,2,FK Mladá Boleslav,Sparta Praha,
14.03.2010,17:00,1,1,Bohemians Praha,1. FC Slovácko,
15.03.2010,17:30,1,1,Zbrojovka Brno,Baník Ostrava,
20.03.2010,13:30,1,2,1. FK Příbram,FK Jablonec,
20.03.2010,13:30,1,3,SK Kladno,Viktoria Plzeň,
20.03.2010,15:45,4,0,Sparta Praha,Sigma Olomouc,
20.03.2010,18:00,2,3,Slovan Liberec,Bohemians Praha,
20.03.2010,18:00,0,1,Baník Ostrava,České Budějovice,
20.03.2010,18:00,0,1,FK Teplice,Zbrojovka Brno,
21.03.2010,17:00,2,0,Bohemians 1905,FK Mladá Boleslav,
22.03.2010,17:30,3,1,1. FC Slovácko,Slavia Praha,
24.03.2010,17:30,0,0,České Budějovice,Bohemians 1905,
24.03.2010,17:30,0,3,Bohemians Praha,Baník Ostrava,
24.03.2010,17:30,1,2,Sigma Olomouc,FK Mladá Boleslav,
24.03.2010,17:30,3,0,Zbrojovka Brno,SK Kladno,
24.03.2010,17:30,3,1,Viktoria Plzeň,1. FK Příbram,
24.03.2010,20:00,0,0,FK Jablonec,Sparta Praha,
25.03.2010,18:00,2,1,FK Teplice,1. FC Slovácko,
25.03.2010,19:00,0,2,Slavia Praha,Slovan Liberec,
27.03.2010,15:45,4,0,FK Mladá Boleslav,Viktoria Plzeň,
28.03.2010,15:00,4,2,Slovan Liberec,FK Jablonec,
28.03.2010,17:00,1,0,1. FC Slovácko,České Budějovice,
28.03.2010,17:00,1,1,Bohemians 1905,FK Teplice,
28.03.2010,17:00,2,3,SK Kladno,Sigma Olomouc,
28.03.2010,17:00,3,2,1. FK Příbram,Bohemians Praha,
28.03.2010,17:00,3,0,Sparta Praha,Zbrojovka Brno,
29.03.2010,17:30,3,1,Baník Ostrava,Slavia Praha,
03.04.2010,15:45,3,1,FK Jablonec,Sigma Olomouc,
03.04.2010,18:00,2,3,Zbrojovka Brno,FK Mladá Boleslav,
03.04.2010,18:00,0,0,1. FC Slovácko,Slovan Liberec,
04.04.2010,17:00,2,1,České Budějovice,1. FK Příbram,
04.04.2010,17:00,1,4,Bohemians Praha,SK Kladno,
05.04.2010,15:30,0,1,FK Teplice,Baník Ostrava,
05.04.2010,15:30,3,0,Slavia Praha,Bohemians 1905,
05.04.2010,17:30,2,2,Viktoria Plzeň,Sparta Praha,
10.04.2010,15:45,3,0,Bohemians 1905,Bohemians Praha,DNF
10.04.2010,18:00,3,2,Baník Ostrava,1. FC Slovácko,
11.04.2010,16:00,1,2,FK Mladá Boleslav,FK Jablonec,
11.04.2010,17:00,1,0,Slovan Liberec,FK Teplice,
11.04.2010,17:00,3,1,1. FK Příbram,Zbrojovka Brno,
11.04.2010,17:00,2,1,SK Kladno,České Budějovice,
11.04.2010,17:00,1,0,Sigma Olomouc,Viktoria Plzeň,
